,Date,Time,Message,Messenger
37,2020-03-19,17:56:35,"Genos, Development is here.",Saitama
38,2020-03-19,17:56:46,𝙖𝙝𝙖𝙖𝙣 just showed up. Hold my beer.,Saitama
39,2020-03-19,17:56:49,"its beta, so fp doesnt work",hsgod 🇵🇱
40,2020-03-19,17:57:13,ohh got it bro 😅,ankit pardhi
41,2020-03-19,17:57:24,"Welcome, Ravi. Stay awhile and listen.",Saitama
42,2020-03-19,17:57:31,Heyo,Lord Vilain
43,2020-03-19,17:57:32,Jakob is here to kick butt and chew bubblegum. And Jakob is all out of gum.,Saitama
44,2020-03-19,17:57:32,I'll go loaf around and not welcome anyone then.,Saitama
45,2020-03-19,17:57:37,hey,hsgod 🇵🇱
46,2020-03-19,17:58:03,This theme last for me 10 mins then it changes automatically,Sheldon Lee Cooper
47,2020-03-19,17:58:45,OPFP Control,
48,2020-03-19,17:59:00,,ahmed
49,2020-03-19,17:59:03,Did you tried,Sheldon Lee Cooper
50,2020-03-19,17:59:10,yep,
51,2020-03-19,17:59:14,opfp doesnt work on miui,hsgod 🇵🇱
52,2020-03-19,17:59:18,lol,hsgod 🇵🇱
53,2020-03-19,17:59:32,on custom,
54,2020-03-19,17:59:33,Gib me admeme 😭,./payload.sh
55,2020-03-19,17:59:57,Can anyone help me out with this,Sheldon Lee Cooper
56,2020-03-19,18:00:15,for miui cn chnge the the theme,
57,2020-03-19,18:00:22,yep,hsgod 🇵🇱
58,2020-03-19,18:00:48,im not on miui rn,hsgod 🇵🇱
59,2020-03-19,18:00:50,,hsgod 🇵🇱
60,2020-03-19,18:01:07,😂😂,
61,2020-03-19,18:01:07,wat,hsgod 🇵🇱
62,2020-03-19,18:01:14,Yes,Sheldon Lee Cooper
63,2020-03-19,18:01:34,change theme and force close themes app,hsgod 🇵🇱
64,2020-03-19,18:03:20,What I need to apply only system??,Sheldon Lee Cooper
65,2020-03-19,18:03:28,apply all,hsgod 🇵🇱
66,2020-03-19,18:03:43,🙆,Sheldon Lee Cooper
67,2020-03-19,18:03:51,Ok,Sheldon Lee Cooper
68,2020-03-19,18:03:51,مسا مسا,ɦαℓเɱㅤㅤㅤㅤ -ًحـٌـــــلْـــــُیمٰ 🇪🇬
69,2020-03-19,18:03:59,anyone on aosp with los fod now?,hsgod 🇵🇱
70,2020-03-19,18:04:06,It was a fun time Federico.,Saitama
71,2020-03-19,18:04:29,Yehh,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
72,2020-03-19,18:04:32,Did you get good camera performance,Sheldon Lee Cooper
73,2020-03-19,18:04:46,except you lmao,hsgod 🇵🇱
74,2020-03-19,18:05:04,Oh no 😅😅🤣,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
75,2020-03-19,18:05:25,camera performance?,hsgod 🇵🇱
76,2020-03-19,18:05:29,lol,hsgod 🇵🇱
77,2020-03-19,18:06:42,I mean better pictures like stock cam 😅,Sheldon Lee Cooper
78,2020-03-19,18:08:03,Go Corona Karona Go,Om.
79,2020-03-19,18:08:23,Saitama ded,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
80,2020-03-19,18:08:30,🤣🤣,sWARNAV
81,2020-03-19,18:09:13,,
82,2020-03-19,18:09:30,,Piotr Burdziński
83,2020-03-19,18:09:37,lmaooo,hsgod 🇵🇱
84,2020-03-19,18:10:20,Wear your masks corona memes incoming,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
85,2020-03-19,18:11:48,Nah im an introvert and its going as planned,Om.
86,2020-03-19,18:11:53,,Om.
87,2020-03-19,18:14:00,Good luck 🤗,Vedat Yasin Özüdoğru
88,2020-03-19,18:14:06,Hello,
89,2020-03-19,18:18:07,Hello everyone 🔥 do share your mods here,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
90,2020-03-19,18:19:27,Why doesn't Mi 9T Pro MiuiPro Beta Android Q change Screen Refresh?,Vedat Yasin Özüdoğru
91,2020-03-19,18:21:05,U installed screen oc ?,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
92,2020-03-19,18:22:19,"60Hz Stock 
66/72/78/90 FPS drops when installed",Vedat Yasin Özüdoğru
93,2020-03-19,18:27:19,Like save animal,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
94,2020-03-19,18:27:37,I m'm nub I don't bknow how to save notes,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
95,2020-03-19,18:29:33,Noish,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
96,2020-03-19,18:29:45,,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
97,2020-03-19,18:57:21,How to apply it ?,PavanSky
98,2020-03-19,18:57:36,Theme editor,Sheldon Lee Cooper
99,2020-03-19,18:58:32,Ok I will try.,PavanSky
100,2020-03-19,19:59:01,,Om.
101,2020-03-19,20:27:51,Nice,Lord Vilain
102,2020-03-19,20:53:19,Karunaa,Saitama
103,2020-03-19,20:53:22,Karunaa,Saitama
104,2020-03-19,20:53:34,😂😂😂,Sheldon Lee Cooper
105,2020-03-19,20:53:37,Lol this is epic,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
106,2020-03-19,20:54:00,Karunaa,Saitama
107,2020-03-19,20:54:16,tf,hsgod 🇵🇱
108,2020-03-19,20:55:38,No this is good saitama joind sqad 🤣🤣,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
109,2020-03-19,20:55:43,Karunaa,Saitama
110,2020-03-19,20:56:05,Karunaa,Saitama
111,2020-03-19,20:56:28,,sWARNAV
112,2020-03-19,20:59:28,,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
113,2020-03-19,20:59:53,shit,hsgod 🇵🇱
114,2020-03-19,20:59:56,Successfully removed note.,Saitama
115,2020-03-19,21:00:08,,Saitama
116,2020-03-19,21:00:10,lmao,hsgod 🇵🇱
117,2020-03-19,21:00:30,Damn it tags me everytime u do it,Om.
118,2020-03-19,21:00:35,hahah,hsgod 🇵🇱
119,2020-03-19,21:00:48,,Om.
120,2020-03-19,21:01:16,,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
121,2020-03-19,21:02:40,omg lmaoo🤣🤣🤣,sWARNAV
122,2020-03-19,21:02:57,,Saitama
123,2020-03-19,21:03:04,🤣🤣🤣🤣🤣🤣,sWARNAV
124,2020-03-19,21:36:50,"MOD Q for Mi9t pro 🔥 (miui & some aosp roms) 
.
Features:
835mhz GPU, Adreno Boost, Dynamic Fsync, Boeffla WL blocker (better battery idle), F2FS optimizations, LZ4 ZRAM.  EXFAT USB/SDCard support added. Sultan Boost + PapaSmurf's Op7Pro tweaks, Dynamic Overclocking + Underclocking with frequency boost for smooth, fast, clean performance and fluid scaling.  Many thanks to PapaSmurf who greatly influenced this kernel; portions are ported from his Op7 Pro Repo.",Gheorghe
125,2020-03-19,21:37:38,guys what do u mean with some aosp rom? 😂😂,Gheorghe
126,2020-03-19,21:37:43,r4v3n kernel later,hsgod 🇵🇱
127,2020-03-19,21:37:44,=D,hsgod 🇵🇱
128,2020-03-19,21:39:18,really? 🤩,Gheorghe
129,2020-03-19,21:39:22,Wohoo,Professor
130,2020-03-19,21:39:31,I'm waiting,Professor
131,2020-03-19,21:39:38,"but, idk why, kernel is los fod and working on mi9fod XDDD",hsgod 🇵🇱
132,2020-03-19,21:39:45,😂😂,Professor
133,2020-03-19,21:39:52,God's will,Professor
134,2020-03-19,21:40:10,wtf? 😂 😂 😂,Gheorghe
135,2020-03-19,21:40:20,new feature lmao,hsgod 🇵🇱
136,2020-03-19,21:40:28,HS GOD,Professor
137,2020-03-19,21:40:38,"try release it for mi9, maybe will work on los🤪🤪",Gheorghe
138,2020-03-19,21:40:46,ahahah,hsgod 🇵🇱
139,2020-03-19,21:52:03,btw release will be only for LOS FOD? 😅,Gheorghe
140,2020-03-19,21:52:21,Yup,Professor
141,2020-03-19,21:52:25,"in theory yes, in practice it also works on mi9fod XD",hsgod 🇵🇱
142,2020-03-19,21:52:31,😂😂,Professor
143,2020-03-19,21:52:34,but flickering af,hsgod 🇵🇱
144,2020-03-19,21:52:46,Rip,Professor
145,2020-03-19,21:53:46,"working with before added fp, when i want to add new, i cant xD",hsgod 🇵🇱
146,2020-03-19,21:54:21,that's awesome 😂,Gheorghe
147,2020-03-19,21:54:37,umm does that los stand for LineageOS ? Sorry for the noob question :3,sWARNAV
148,2020-03-19,21:56:56,,hsgod 🇵🇱
149,2020-03-19,21:57:08,Come to EvoX,Professor
150,2020-03-19,22:00:52,thx man but I'm more into vanilla roms.. 😅😅  evox is a great rom btw💪,Gheorghe
151,2020-03-19,22:08:55,Okay np,Professor
152,2020-03-19,22:11:25,Also,Professor
153,2020-03-19,22:11:34,"Yo, whadup?",Saitama
154,2020-03-19,22:11:41,Hey Everybody! MADGENIUS is asking me to be mean!,Saitama
155,2020-03-19,22:11:59,Gheorghe😎😎 was made redundant.,Saitama
156,2020-03-19,22:20:19,Flashing,Professor
157,2020-03-19,22:28:30,Kernel also for Q android aosp?,It's Me Mario
158,2020-03-19,22:28:39,Yes,Professor
159,2020-03-19,22:28:45,If it uses old fod,Professor
160,2020-03-19,22:45:42,If it use mi9fod than not,It's Me Mario
161,2020-03-19,22:48:35,"its working on all roms, but with mi9fod fod not working fine",hsgod 🇵🇱
162,2020-03-19,22:49:10,Heyy,Professor
163,2020-03-19,22:49:13,Welcome,Professor
164,2020-03-19,22:49:19,Hello,GodkiLL
165,2020-03-19,22:49:20,Hey bro,IR㊉NĦRŦ™ #AwaraGang
166,2020-03-19,22:49:23,Hey thank you!,Jacco
167,2020-03-19,22:49:29,hi boss,hsgod 🇵🇱
168,2020-03-19,22:49:35,HS,Professor
169,2020-03-19,22:49:43,These people all tried your kernel,Professor
170,2020-03-19,22:49:47,Send it latest kernel,IR㊉NĦRŦ™ #AwaraGang
171,2020-03-19,22:49:53,pinned,hsgod 🇵🇱
172,2020-03-19,22:49:55,.,Professor
173,2020-03-19,22:50:10,its test version so its not public now xD,hsgod 🇵🇱
174,2020-03-19,22:50:26,Hope it's not using mi9fod?,IR㊉NĦRŦ™ #AwaraGang
175,2020-03-19,22:50:27,Gpu oc 😍,GodkiLL
176,2020-03-19,22:50:41,Thats what I needed..thank you👍,GodkiLL
177,2020-03-19,22:50:44,"its los fod, but i tried on corvus with mi9fod and it works haha",hsgod 🇵🇱
178,2020-03-19,22:51:02,Gib link,Professor
179,2020-03-19,22:51:05,"on lockscreen works fine, on aod not working",hsgod 🇵🇱
180,2020-03-19,22:51:06,👌👌👌,IR㊉NĦRŦ™ #AwaraGang
181,2020-03-19,22:51:20,In los too?,GodkiLL
182,2020-03-19,22:51:24,❤️,hsgod 🇵🇱
183,2020-03-19,22:51:30,Oh hello sor,Lord Vilain
184,2020-03-19,22:51:32,"no, on los works good",hsgod 🇵🇱
185,2020-03-19,23:04:01,Hello,IR㊉NĦRŦ™ #AwaraGang
186,2020-03-19,23:08:40,Hello sar,
187,2020-03-19,23:11:24,Hello Sar,IR㊉NĦRŦ™ #AwaraGang
188,2020-03-19,23:13:49,Flickr is there when unlocking from AOD and Pulse but from ls it's 👌👌,IR㊉NĦRŦ™ #AwaraGang
189,2020-03-19,23:14:09,Fod not working on masik rom,P°K^
190,2020-03-19,23:15:00,masik is beta based rom,hsgod 🇵🇱
191,2020-03-19,23:15:06,so fod not working lol,hsgod 🇵🇱
192,2020-03-19,23:15:12,"flashed over syberia with mi9 impl. .. it works, he even make me enroll a new fp, but hotspot is broken. 😅",Gheorghe
193,2020-03-19,23:15:28,"ye, hotspot works sometimes",hsgod 🇵🇱
194,2020-03-19,23:15:28,But other kernel fod working,P°K^
195,2020-03-19,23:15:36,jeesus,hsgod 🇵🇱
196,2020-03-19,23:15:41,"Like candy ,imensity",P°K^
197,2020-03-19,23:15:50,on this 2 kernels fod working,hsgod 🇵🇱
198,2020-03-19,23:15:58,Ok,P°K^
199,2020-03-19,23:16:28,Pru 🔥,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
200,2020-03-20,00:11:55,Sup peeps,Pit
201,2020-03-20,00:12:23,Los fod?,Pit
202,2020-03-20,00:12:36,yep,hsgod 🇵🇱
203,2020-03-20,00:12:41,but works on mi9fod too lol XD,hsgod 🇵🇱
204,2020-03-20,00:12:52,Dafuq lol,Pit
205,2020-03-20,00:12:56,yes xDDD,hsgod 🇵🇱
206,2020-03-20,00:13:07,corvus with mi9fod,hsgod 🇵🇱
207,2020-03-20,00:13:07,,hsgod 🇵🇱
208,2020-03-20,00:15:32,Wow,D-301 Arun Selvan
209,2020-03-20,00:15:37,Pro,
210,2020-03-20,00:15:42,idk how XDDD,hsgod 🇵🇱
211,2020-03-20,00:15:46,its los fod kernel lmao,hsgod 🇵🇱
212,2020-03-20,00:16:03,How is BB bruh ?,D-301 Arun Selvan
213,2020-03-20,00:16:27,"this is an individual matter, download and test",hsgod 🇵🇱
214,2020-03-20,00:16:55,Wtf,Om.
215,2020-03-20,00:16:57,Lel,Om.
216,2020-03-20,00:16:58,Okie 😍,D-301 Arun Selvan
217,2020-03-20,00:17:11,Goona test in corvos,D-301 Arun Selvan
218,2020-03-20,00:17:46,Try,
219,2020-03-20,00:17:51,Nope,Om.
220,2020-03-20,00:17:57,I watching Breaking bed,Om.
221,2020-03-20,00:18:00,Noob,
222,2020-03-20,00:18:06,Gey,Om.
223,2020-03-20,00:18:09,I formatting,
224,2020-03-20,00:18:12,Downloading,
225,2020-03-20,00:18:13,*,
226,2020-03-20,00:18:14,,
227,2020-03-20,00:18:15,Lol😂,D-301 Arun Selvan
228,2020-03-20,00:18:16,Lmao,Om.
229,2020-03-20,00:18:21,Do this,Om.
230,2020-03-20,00:18:49,,
231,2020-03-20,00:22:02,Enjoi,Om.
232,2020-03-20,00:22:16,Offf pro,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
233,2020-03-20,00:23:06,Ooof..me fleshing,
234,2020-03-20,00:23:12,👊,hsgod 🇵🇱
235,2020-03-20,00:23:35,Evo?,Om.
236,2020-03-20,00:23:40,Yoo,
237,2020-03-20,00:23:50,Ok,Om.
238,2020-03-20,00:39:10,Oppo Find X2 pro Live wallpaper 🔥,K20 Pro / Mi9T pro Mods [ EOL ]
239,2020-03-20,00:39:47,Sorry 😅😅😅,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
240,2020-03-20,00:39:52,cool,hsgod 🇵🇱
241,2020-03-20,00:40:16,1 day 100 members,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
242,2020-03-20,00:40:26,,hsgod 🇵🇱
243,2020-03-20,01:25:13,1.6 ? 😄😄😄,Z.A.E
244,2020-03-20,01:25:43,shhhhh i forgot to edit this XD,hsgod 🇵🇱
245,2020-03-20,01:26:06,Ok bro ok 😄👍👍,Z.A.E
246,2020-03-20,02:12:31,how to install,Z.A.E
247,2020-03-20,02:12:51,How to apply,Z.A.E
248,2020-03-20,02:12:54,?,Z.A.E
249,2020-03-20,02:24:00,it s an apk.. I think just install and enjoy..  😅 😅,Gheorghe
250,2020-03-20,02:24:29,I can't set the wallpaper,Z.A.E
251,2020-03-20,02:24:36,Why,Z.A.E
252,2020-03-20,03:38:12,Anyone solution for earbuds on Bluetooth doesn't working on evox,It's Me Mario
253,2020-03-20,03:39:44,Any solution for Multi Touch issue?,Mahmud Raphael
254,2020-03-20,03:52:49,Sound works,hsgod 🇵🇱
255,2020-03-20,03:52:52,latest evo,hsgod 🇵🇱
256,2020-03-20,03:53:24,I doesn't hear sound while I play music,It's Me Mario
257,2020-03-20,03:53:33,On my earplugs,It's Me Mario
258,2020-03-20,03:53:51,Pair again,hsgod 🇵🇱
259,2020-03-20,03:54:43,Nothing,It's Me Mario
260,2020-03-20,03:54:50,So weird,It's Me Mario
261,2020-03-20,03:54:55,reboot phone? Any mods?,hsgod 🇵🇱
262,2020-03-20,03:55:25,Yeah viper4android,It's Me Mario
263,2020-03-20,03:55:29,And dual speaker,It's Me Mario
264,2020-03-20,03:55:34,Im using this too xD,hsgod 🇵🇱
265,2020-03-20,03:55:41,"Hm, its dangerous to use imo",hsgod 🇵🇱
266,2020-03-20,04:04:38,,Saitama
267,2020-03-20,04:08:26,Wtf still no sound but also no possible to disable a2dp on developer,It's Me Mario
268,2020-03-20,04:09:19,Kernel?,hsgod 🇵🇱
269,2020-03-20,04:09:36,Immensity today,It's Me Mario
270,2020-03-20,04:09:43,Stock evox,It's Me Mario
271,2020-03-20,04:09:51,Try with f1xy,hsgod 🇵🇱
272,2020-03-20,04:14:46,Also nothing,It's Me Mario
273,2020-03-20,04:14:49,Very weird,It's Me Mario
274,2020-03-20,04:16:03,Lol,hsgod 🇵🇱
275,2020-03-20,04:16:13,I don't get it,It's Me Mario
276,2020-03-20,04:16:18,Other ROMs no problem,It's Me Mario
277,2020-03-20,08:15:08,They're conflicting audip mods,Professor
278,2020-03-20,08:15:24,Delete the other one,Professor
279,2020-03-20,13:30:52,,hsgod 🇵🇱
280,2020-03-20,13:31:11,Nah it's fixed now,Professor
281,2020-03-20,13:31:18,Sorry forgot to update,Professor
282,2020-03-20,13:31:22,Cool,hsgod 🇵🇱
283,2020-03-20,13:31:32,So all is ok now?,hsgod 🇵🇱
284,2020-03-20,13:31:43,,Professor
285,2020-03-20,13:32:07,"12%, too high imo",hsgod 🇵🇱
286,2020-03-20,13:32:14,Yeah,Professor
287,2020-03-20,13:33:52,,Professor
288,2020-03-20,13:35:29,Dou you have this apps apk?,Z.A.E
289,2020-03-20,13:36:25,Bbs,Professor
290,2020-03-20,13:37:43,,Professor
291,2020-03-20,13:40:12,Tnx,Z.A.E
292,2020-03-20,13:40:41,Np,Professor
293,2020-03-20,13:57:20,U mean this?,hsgod 🇵🇱
294,2020-03-20,13:57:29,Yep,GodkiLL
295,2020-03-20,13:57:44,Lmao its working xD,hsgod 🇵🇱
296,2020-03-20,13:57:54,Rom?,GodkiLL
297,2020-03-20,13:57:57,Evo,hsgod 🇵🇱
298,2020-03-20,13:58:00,latest,hsgod 🇵🇱
299,2020-03-20,13:58:01,Me on evox latest stable,GodkiLL
300,2020-03-20,13:58:05,Wtf,GodkiLL
301,2020-03-20,13:58:23,For me its not again back to immensity and works again,GodkiLL
302,2020-03-20,14:00:15,Yup,Professor
303,2020-03-20,14:00:23,Not kernel fault mate,Professor
304,2020-03-20,14:01:04,Okay fine,GodkiLL
305,2020-03-20,14:01:18,I am flashing again then to recheck,GodkiLL
306,2020-03-20,14:01:37,I will fix battery drain in next update,hsgod 🇵🇱
307,2020-03-20,14:01:59,Okay,Professor
308,2020-03-20,14:02:02,Active?,Professor
309,2020-03-20,14:02:52,Yep,hsgod 🇵🇱
310,2020-03-20,14:03:06,Fucking google services,hsgod 🇵🇱
311,2020-03-20,14:03:43,Can I gib a suggestion,GodkiLL
312,2020-03-20,14:03:46,Ye,hsgod 🇵🇱
313,2020-03-20,14:03:51,U can make some app like ngk,GodkiLL
314,2020-03-20,14:04:07,So that we can change our performance based on usage,GodkiLL
315,2020-03-20,14:04:11,eh?,hsgod 🇵🇱
316,2020-03-20,14:04:21,"Like performance mode, battery saving mode etc",GodkiLL
317,2020-03-20,14:04:31,U mean kernel manager?,hsgod 🇵🇱
318,2020-03-20,14:04:47,Oh yes,GodkiLL
319,2020-03-20,14:05:02,U can change all options in ex kernel manager,hsgod 🇵🇱
320,2020-03-20,14:05:16,That will do the thing?,GodkiLL
321,2020-03-20,14:05:18,"I can create note about performance, battery settings",hsgod 🇵🇱
322,2020-03-20,14:05:25,Yes,GodkiLL
323,2020-03-20,14:05:31,Ok,hsgod 🇵🇱
324,2020-03-20,14:05:31,Thats what I am asking,GodkiLL
325,2020-03-20,14:05:35,Cool,hsgod 🇵🇱
326,2020-03-20,14:05:39,😁,GodkiLL
327,2020-03-20,14:24:49,How that happens?,Z.A.E
328,2020-03-20,14:46:05,Utsav pro,hsgod 🇵🇱
329,2020-03-20,14:46:54,What is this???,Z.A.E
330,2020-03-20,14:47:13,dev lol xD,hsgod 🇵🇱
331,2020-03-20,14:47:33,Heheh,Z.A.E
332,2020-03-20,14:47:39,I remember now,Z.A.E
333,2020-03-20,14:50:50,Contact Us I hope it helps?,Z.A.E
334,2020-03-20,15:27:01,,Professor
335,2020-03-20,15:27:42,"Idle is good, only active sucks",hsgod 🇵🇱
336,2020-03-20,15:27:48,Yes,Professor
337,2020-03-20,15:27:54,Wtf is persistent process,hsgod 🇵🇱
338,2020-03-20,15:28:01,No idea,Professor
339,2020-03-20,15:29:21,"Clear ps and play services data, then reboot",Pit
340,2020-03-20,15:29:30,Okay,Professor
341,2020-03-20,15:29:31,Wow,Professor
342,2020-03-20,15:29:32,Thx,Professor
343,2020-03-20,15:32:09,"play store not working now, pro",hsgod 🇵🇱
344,2020-03-20,15:32:10,XD,hsgod 🇵🇱
345,2020-03-20,15:32:29,😂😂,Professor
346,2020-03-20,15:32:45,Did you reboot?,Pit
347,2020-03-20,15:32:50,Works for me,Professor
348,2020-03-20,15:32:50,yep,hsgod 🇵🇱
349,2020-03-20,15:32:54,Rip,Pit
350,2020-03-20,15:32:55,Lmao,Pit
351,2020-03-20,15:32:57,😂😂,Professor
352,2020-03-20,15:32:58,XD,hsgod 🇵🇱
353,2020-03-20,15:33:08,Pit: clean flashes again,Professor
354,2020-03-20,15:33:09,,ahmed
355,2020-03-20,15:33:16,Heyy Ahmed,Professor
356,2020-03-20,15:33:21,Try raven,Professor
357,2020-03-20,15:33:26,Raven gives you wings,Professor
358,2020-03-20,15:33:44,Hry sar,ahmed
359,2020-03-20,15:33:49,Red Bull destroys phone,Professor
360,2020-03-20,15:33:52,Dekhta,ahmed
361,2020-03-20,15:33:58,,ahmed
362,2020-03-20,15:34:02,😂😂,Professor
363,2020-03-20,15:34:11,,hsgod 🇵🇱
364,2020-03-20,15:34:21,Closed source?,Professor
365,2020-03-20,15:34:28,yes,hsgod 🇵🇱
366,2020-03-20,15:34:39,Any plans of open?,Professor
367,2020-03-20,15:34:46,idk xD,hsgod 🇵🇱
368,2020-03-20,15:34:47,maybe,hsgod 🇵🇱
369,2020-03-20,15:35:05,I love the kernel and feel that everyone deserves to know it,Professor
370,2020-03-20,15:35:13,Just put out a build or two,Professor
371,2020-03-20,15:35:17,And see the popularity,Professor
372,2020-03-20,15:35:26,when i fix all bugs,hsgod 🇵🇱
373,2020-03-20,15:35:41,"need to fix battery, hotspot and fod on weekly miui",hsgod 🇵🇱
374,2020-03-20,15:36:38,How to fix the theme,Sheldon Lee Cooper
375,2020-03-20,15:37:03,It automatically revert back to old theme,Sheldon Lee Cooper
376,2020-03-20,15:38:41,Dude make it for custom first,Professor
377,2020-03-20,15:38:49,Focus on meme later,Professor
378,2020-03-20,16:00:44,xD,hsgod 🇵🇱
379,2020-03-20,16:31:13,Lul,Pit
380,2020-03-20,16:31:23,its fucked,hsgod 🇵🇱
381,2020-03-20,16:31:48,I don't know if wakelock can be given to gms,hsgod 🇵🇱
382,2020-03-20,17:08:25,🤔,hsgod 🇵🇱
383,2020-03-20,17:27:56,Pro,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
384,2020-03-20,17:42:19,Wtf still no sound with Bluetooth in car,It's Me Mario
385,2020-03-20,17:43:55,Nice,Professor
386,2020-03-20,17:44:19,wtf,hsgod 🇵🇱
387,2020-03-20,17:44:27,😂😂,Professor
388,2020-03-20,17:44:54,Which vendor u flashed?,It's Me Mario
389,2020-03-20,17:45:02,eea 11.0.5,hsgod 🇵🇱
390,2020-03-20,17:45:06,Which one you using,Professor
391,2020-03-20,17:46:35,Earplugs was oke,It's Me Mario
392,2020-03-20,17:46:56,But Bluetooth car no sound,It's Me Mario
393,2020-03-20,17:47:01,Also disable AAC,Professor
394,2020-03-20,17:47:32,Where can I disable it,It's Me Mario
395,2020-03-20,17:47:44,In bluetooth settings,Professor
396,2020-03-20,17:47:56,Click the setting icon near your bluetooth device name,Professor
397,2020-03-20,17:48:11,And how to flash only vendor,It's Me Mario
