,Date,Time,Message,Messenger
41,2022-11-01,11:00 am,+91 84595 46723 joined using this group's invite link,
42,2022-11-01,11:04 am, Class started ?,Pavan Mamba
43,2022-11-01,11:05 am, yup,Pooja Jain
44,2022-11-01,11:06 am,+91 99662 78854 joined using this group's invite link,
45,2022-11-01,11:08 am,+91 93814 59028 joined using this group's invite link,
46,2022-11-01,11:08 am,Jatin joined using this group's invite link,
47,2022-11-01,11:09 am,+91 81870 37496 joined using this group's invite link,
48,2022-11-01,1:19 pm,+91 73750 78295 left,
49,2022-11-01,1:48 pm,+91 6377 054 673 joined using this group's invite link,
50,2022-11-01,2:46 pm,Astitva joined using this group's invite link,
51,2022-12-01,10:48 am,+91 79069 17100 joined using this group's invite link,
52,2022-12-01,3:55 pm, I have sent a mail with the link of the drive containing the NLP lectures and slides,Pooja Jain
53,2022-12-01,3:56 pm, login with ur iiitn id,Pooja Jain
54,2022-12-01,8:53 pm, It's quite clear.. login only with you iiitn id.. don't send me the request for login,Pooja Jain
55,2022-01-20,9:16 am,+91 96731 20352 changed the group description,
56,2022-01-20,9:59 am, https //www.youtube.com/watch?v=LuoJ2SK0m9g,Pooja Jain
57,2022-01-20,10:00 am, Wonderful speech related to NLP,Pooja Jain
58,2022-01-20,10:07 am, Do listen to it..,Pooja Jain
59,2022-01-21,10:11 am, Today's class is postponed,Pooja Jain
60,2022-01-21,12:34 pm,Anuj Kapse joined using this group's invite link,
61,2022-01-24,10:00 pm, Tomorrow's class is postponed as I am not well,Pooja Jain
62,2022-01-27,9:14 am, Ma'am is there class today?,+91 94797 54811
63,2022-01-27,9:31 am," Sorry, I was not feeling well so couldn't inform.",Pooja Jain
64,2022-01-27,10:54 am, Okay ma'am,+91 94797 54811
65,2022-04-02,12:41 pm, https //monkeylearn.com/blog/natural-language-processing-challenges/,Pooja Jain
66,2022-04-02,12:41 pm, https //www.kdnuggets.com/2016/09/slangsd-sentiment-dictionary-slang-words.html,Pooja Jain
67,2022-06-02,4:42 pm, I have uploaded the NLP lectures,Pooja Jain
68,2022-11-02,1:42 pm," As told in the lecture today , the project presentations will start from Tuesday. First, cse final year, then ece final year",Pooja Jain
69,2022-11-02,1:43 pm, Third year cse and then third year ece,Pooja Jain
70,2022-11-02,4:36 pm, Can cse and ece students form a group together?,+91 70383 44824
71,2022-11-02,4:36 pm, Yes,Golu Kanojiya
72,2022-11-02,4:36 pm, Ok,+91 70383 44824
73,2022-02-13,8:11 pm,+91 99604 26182 joined using this group's invite link,
74,2022-02-15,12:19 pm, Fill the google form...only 21 have filled as of now,Pooja Jain
75,2022-02-15,12:22 pm, I have uploaded all the slides and lectures on the google drive,Pooja Jain
76,2022-02-17,9:16 am, This message was deleted,+91 89194 59573
77,2022-02-17,9:43 am, This message was deleted,+91 96731 20352
78,2022-02-18,1:23 pm, Mam it's a keen request from ECE 19 sec that can u plz take the presentation today itself . You can tell the time according to your convince .,Shreya Dalmia
79,2022-02-18,1:23 pm, +1,+91 89763 70627
80,2022-02-18,1:23 pm, +1,+91 70496 83162
81,2022-02-18,1:23 pm, +1,+91 84595 46723
82,2022-02-18,1:24 pm, +1,+91 97301 40358
83,2022-02-18,1:24 pm, +1,+91 99896 82885
84,2022-02-18,1:25 pm, beta we will have it after the exams...in the class timings...,Pooja Jain
85,2022-02-18,1:29 pm, Okay mam,Shreya Dalmia
86,2022-02-23,4:19 pm," I have checked again, all the recorded lectures of NLP have been uploaded on the Google drive",Pooja Jain
87,2022-03-03,9:23 pm, This message was deleted,+91 70136 41413
88,2022-03-03,9:23 pm, This message was deleted,+91 70136 41413
89,2022-03-03,9:23 pm, This message was deleted,+91 70136 41413
90,2022-04-03,8:01 am, Some students have not registered on moodle for NLP. Do it ASAP,Pooja Jain
91,2022-08-03,10:37 am, Sorry won't be able to take class today.. stuck up with some official work,Pooja Jain
92,2022-10-03,9:21 am," We have the  pending presentation of NLP today ,join right now",+91 99662 78854
93,2022-03-28,4:44 pm," If u have any doubt, join the discussion meeting at 7",Pooja Jain
94,2022-03-28,7:04 pm, This message was deleted,Gowtham
95,2022-03-28,7:19 pm, Sorry for late from college,Pooja Jain
96,2022-03-28,7:19 pm, Join in 5 min,Pooja Jain
97,2022-03-28,8:27 pm, nandita urs are 21 now,Pooja Jain
98,2022-03-29,11:03 am, NLP class in room 102,+91 97026 17768
99,2022-03-29,11:59 am, Ma'am I just wanted to remind you about the bi-gram probability question discussion,+91 70136 41413
100,2022-03-29,12:12 pm, Arey how many times will you remind🤔🧐😵‍💫,Pooja Jain
101,2022-03-29,12:15 pm, Ma'am next NLP class is on Thursday so I thought we may forget about this,+91 70136 41413
102,2022-03-29,12:34 pm, I told in the class na that I don't have marker,Pooja Jain
103,2022-03-29,12:34 pm, In fact there won't be class on Thursday and Friday...,Pooja Jain
104,2022-03-29,12:40 pm, Ok ma'am,+91 70136 41413
105,2022-03-30,2:37 pm, No class tomorrow and day after,Pooja Jain
106,2022-08-04,1:05 pm, I have uploaded all the lectures and slides in the drive,Pooja Jain
107,2022-09-04,9:31 am, https //nlp.stanford.edu/IR-book/html/htmledition/inverse-document-frequency-1.html,Pooja Jain
